>>>DATA LIST FOR: SCORED_POSTS_AQ (A)_201349194152470.xml
ye1.org, AQAA Military Engagement, عصفور النار, الفجر الجدديد, 1
ye1.org,AQAA Non Violent Activity,Out Degree,الريد,1
ye1.org,AQAA Non Violent Activity,Out Degree,جلال الأربعيني,3
ye1.org,AQAA Non Violent Activity,Out Degree,صحافي,0
ye1.org,AQAA Non Violent Activity,Out Degree,بنت حفصة,0
ye1.org,AQAA Non Violent Activity,Out Degree,نور الدين زنكي,9
ye1.org,AQAA Non Violent Activity,Out Degree,شاخوف الوائلي,0
ye1.org,AQAA Non Violent Activity,Out Degree,جابر الحارثي,2
ye1.org,AQAA Non Violent Activity,Out Degree,بارود1,0
ye1.org,AQAA Non Violent Activity,Out Degree,صاروخي,1
ye1.org,AQAA Non Violent Activity,Out Degree,kaser119,1
ye1.org,AQAA Non Violent Activity,Out Degree,زنجبار تنزف,1
ye1.org,AQAA Non Violent Activity,Out Degree,النسر الفضي,2
ye1.org,AQAA Non Violent Activity,Out Degree,مسترباند,2
ye1.org,AQAA Non Violent Activity,Out Degree,صـدى الحـق,1
ye1.org,AQAA Non Violent Activity,Out Degree,أبومعاوية,2
ye1.org,AQAA Non Violent Activity,Out Degree,عبد الرحمن الزر,5
ye1.org,AQAA Non Violent Activity,Out Degree,gamel,5
ye1.org,AQAA Non Violent Activity,Out Degree,نبيل العربي,0
ye1.org,AQAA Non Violent Activity,Out Degree,الزهراء الزهراء,2
ye1.org,AQAA Non Violent Activity,Out Degree,حفيد البخاري,4
ye1.org,AQAA Non Violent Activity,Out Degree,رئيس الجاليه,0
ye1.org,AQAA Non Violent Activity,Out Degree,جلال بن فريد,2
ye1.org,AQAA Non Violent Activity,Out Degree,الضؤ,1
ye1.org,AQAA Non Violent Activity,Out Degree,رجال الوايلي,12
ye1.org,AQAA Non Violent Activity,Out Degree,مصعب السيال,0
ye1.org,AQAA Non Violent Activity,Out Degree,اسودالانبارءاب,0
ye1.org,AQAA Non Violent Activity,Out Degree,محب الله1,1
ye1.org,AQAA Non Violent Activity,Out Degree,سعيد سامر,1
ye1.org,AQAA Non Violent Activity,Out Degree,KGB,1
ye1.org,AQAA Non Violent Activity,Out Degree,الفجر الجدديد,0
ye1.org,AQAA Non Violent Activity,Out Degree,حق العودة,2
ye1.org,AQAA Non Violent Activity,Out Degree,الهاشمي اليماني,0
ye1.org,AQAA Non Violent Activity,Out Degree,حسين العنتابلى,1
ye1.org,AQAA Non Violent Activity,Out Degree,رشيماء,0
ye1.org,AQAA Non Violent Activity,Out Degree,علي ابن المشطط,0
ye1.org,AQAA Non Violent Activity,Out Degree,طيب الاسم,3
ye1.org,AQAA Non Violent Activity,Out Degree,نصيرة الحق,0
ye1.org,AQAA Non Violent Activity,Out Degree,الضاحية,0
ye1.org,AQAA Non Violent Activity,Out Degree,الظاهري ,0
ye1.org,AQAA Non Violent Activity,Out Degree,غريب في ارضه,0
ye1.org,AQAA Non Violent Activity,Out Degree,مسلم 7,0
ye1.org,AQAA Non Violent Activity,Out Degree,ابن الرياشي,4
ye1.org,AQAA Non Violent Activity,Out Degree,محمد علي حسين,0
ye1.org,AQAA Non Violent Activity,Out Degree,المعلم1,0
ye1.org,AQAA Non Violent Activity,Out Degree,شعارالنصر,0
ye1.org,AQAA Non Violent Activity,Out Degree,عبدالرزاق الجمل,0
ye1.org,AQAA Non Violent Activity,Out Degree,نظمي,0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,ابن سيناءء,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,Nutcracker,0.167647058824
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الامير معاويه,1.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الحقيقة مرة,0.168674698795
ye1.org,AQAA Non Violent Activity,Closeness Centrality,أبو شديد,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,NETSCAPE,1.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,نقار الخشب,0.257918552036
ye1.org,AQAA Non Violent Activity,Closeness Centrality,بو عقيل,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,متابع اعلامي,0.341463414634
ye1.org,AQAA Non Violent Activity,Closeness Centrality,أبوالبراء79,0.294736842105
ye1.org,AQAA Non Violent Activity,Closeness Centrality,قلم حرر,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الركن اليماني,0.221343873518
ye1.org,AQAA Non Violent Activity,Closeness Centrality,محب علماء اليمن,0.238493723849
ye1.org,AQAA Non Violent Activity,Closeness Centrality,محمد العباسى,0.427480916031
ye1.org,AQAA Non Violent Activity,Closeness Centrality,علي الصريمي,0.233606557377
ye1.org,AQAA Non Violent Activity,Closeness Centrality,بنت اليمن22,0.32183908046
ye1.org,AQAA Non Violent Activity,Closeness Centrality,ابو مراد,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الرفيق جيفارا,0.666666666667
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الرجوع الى الحق,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الأطلنطي,0.625
ye1.org,AQAA Non Violent Activity,Closeness Centrality,اليمن تاج راسي,0.235294117647
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الخبجي99,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,مملكه سباء,0.217054263566
ye1.org,AQAA Non Violent Activity,Closeness Centrality,يحي الجبر,0.33734939759
ye1.org,AQAA Non Violent Activity,Closeness Centrality,أبـو علياء,0.242424242424
ye1.org,AQAA Non Violent Activity,Closeness Centrality,ramzi alkadasi,1.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,النمر بن عدوان,0.666666666667
ye1.org,AQAA Non Violent Activity,Closeness Centrality,سالم رضوان,1.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,زهيرسالم,0.17008797654
ye1.org,AQAA Non Violent Activity,Closeness Centrality,عرين الأسد,1.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,لبيك يايمن,0.303191489362
ye1.org,AQAA Non Violent Activity,Closeness Centrality,ربـــش,0.275862068966
ye1.org,AQAA Non Violent Activity,Closeness Centrality,يماني في الغربه,0.165680473373
ye1.org,AQAA Non Violent Activity,Closeness Centrality,عالي المقام,0.165680473373
ye1.org,AQAA Non Violent Activity,Closeness Centrality,امين وبس,0.428571428571
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الليل والنهار,0.666666666667
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الواحدي شبواني,0.146981627297
ye1.org,AQAA Non Violent Activity,Closeness Centrality,مجدي الرويشد,0.146529562982
ye1.org,AQAA Non Violent Activity,Closeness Centrality,اليماني القحطان,0.17008797654
ye1.org,AQAA Non Violent Activity,Closeness Centrality,أبو علي 4,0.303191489362
ye1.org,AQAA Non Violent Activity,Closeness Centrality,تأبط قلم,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,ليال92,0.298429319372
ye1.org,AQAA Non Violent Activity,Closeness Centrality,keelo,1.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,صادق حسن,0.571428571429
ye1.org,AQAA Non Violent Activity,Closeness Centrality,محمد ق,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,أبو نافع,0.299465240642
ye1.org,AQAA Non Violent Activity,Closeness Centrality,اسماعيل السلفي,1.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,صابر2012,0.296296296296
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الامير الصنعاني,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,صارم الحق,1.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,Microscope,0.339393939394
ye1.org,AQAA Non Violent Activity,Closeness Centrality,وليد عبد الودود,0.302083333333
ye1.org,AQAA Non Violent Activity,Closeness Centrality,ابوعلي الراشد,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,أبو هارون منصور,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,أختكم في الله,1.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,المـرادي,0.219230769231
ye1.org,AQAA Non Violent Activity,Closeness Centrality,منصور عبد ربه,0.185074626866
ye1.org,AQAA Non Violent Activity,Closeness Centrality,جنوبي فخور,1.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,أريد أن أفهم,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,ارحل الان,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الحدعشري,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,مراسل بلا حدود,0.219230769231
ye1.org,AQAA Non Violent Activity,Closeness Centrality,جنوبي شامخ,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,أميــر القــلم,0.241666666667
ye1.org,AQAA Non Violent Activity,Closeness Centrality,ابوخالد عبدالله,0.228915662651
ye1.org,AQAA Non Violent Activity,Closeness Centrality,المؤمن الصادق,0.314606741573
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الريد,1.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,جلال الأربعيني,0.307692307692
ye1.org,AQAA Non Violent Activity,Closeness Centrality,صحافي,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,بنت حفصة,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,نور الدين زنكي,0.378378378378
ye1.org,AQAA Non Violent Activity,Closeness Centrality,شاخوف الوائلي,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,جابر الحارثي,0.172011661808
ye1.org,AQAA Non Violent Activity,Closeness Centrality,بارود1,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,صاروخي,0.224
ye1.org,AQAA Non Violent Activity,Closeness Centrality,kaser119,0.278048780488
ye1.org,AQAA Non Violent Activity,Closeness Centrality,زنجبار تنزف,0.22619047619
ye1.org,AQAA Non Violent Activity,Closeness Centrality,النسر الفضي,0.160401002506
ye1.org,AQAA Non Violent Activity,Closeness Centrality,مسترباند,0.251082251082
ye1.org,AQAA Non Violent Activity,Closeness Centrality,صـدى الحـق,0.5
ye1.org,AQAA Non Violent Activity,Closeness Centrality,أبومعاوية,1.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,عبد الرحمن الزر,0.21978021978
ye1.org,AQAA Non Violent Activity,Closeness Centrality,gamel,0.287179487179
ye1.org,AQAA Non Violent Activity,Closeness Centrality,نبيل العربي,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الزهراء الزهراء,0.225806451613
ye1.org,AQAA Non Violent Activity,Closeness Centrality,حفيد البخاري,0.345679012346
ye1.org,AQAA Non Violent Activity,Closeness Centrality,رئيس الجاليه,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,جلال بن فريد,0.146464646465
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الضؤ,0.259259259259
ye1.org,AQAA Non Violent Activity,Closeness Centrality,رجال الوايلي,0.417910447761
ye1.org,AQAA Non Violent Activity,Closeness Centrality,مصعب السيال,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,اسودالانبارءاب,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,محب الله1,0.219230769231
ye1.org,AQAA Non Violent Activity,Closeness Centrality,سعيد سامر,0.296296296296
ye1.org,AQAA Non Violent Activity,Closeness Centrality,KGB,0.246753246753
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الفجر الجدديد,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,حق العودة,0.256880733945
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الهاشمي اليماني,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,حسين العنتابلى,0.257918552036
ye1.org,AQAA Non Violent Activity,Closeness Centrality,رشيماء,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,علي ابن المشطط,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,طيب الاسم,1.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,نصيرة الحق,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الضاحية,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,الظاهري ,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,غريب في ارضه,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,مسلم 7,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,ابن الرياشي,0.197879858657
ye1.org,AQAA Non Violent Activity,Closeness Centrality,محمد علي حسين,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,المعلم1,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,شعارالنصر,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,عبدالرزاق الجمل,0.0
ye1.org,AQAA Non Violent Activity,Closeness Centrality,نظمي,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,ابن سيناءء,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,Nutcracker,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الامير معاويه,0.5
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الحقيقة مرة,70.3333333333
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,أبو شديد,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,NETSCAPE,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,نقار الخشب,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,بو عقيل,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,متابع اعلامي,948.266666667
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,أبوالبراء79,104.5
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,قلم حرر,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الركن اليماني,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,محب علماء اليمن,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,محمد العباسى,1256.11666667
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,علي الصريمي,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,بنت اليمن22,374.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,ابو مراد,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الرفيق جيفارا,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الرجوع الى الحق,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الأطلنطي,5.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,اليمن تاج راسي,572.116666667
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الخبجي99,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,مملكه سباء,9.03333333333
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,يحي الجبر,413.4
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,أبـو علياء,257.366666667
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,ramzi alkadasi,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,النمر بن عدوان,116.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,سالم رضوان,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,زهيرسالم,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,عرين الأسد,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,لبيك يايمن,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,ربـــش,526.5
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,يماني في الغربه,181.083333333
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,عالي المقام,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,امين وبس,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الليل والنهار,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الواحدي شبواني,68.3333333333
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,مجدي الرويشد,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,اليماني القحطان,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,أبو علي 4,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,تأبط قلم,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,ليال92,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,keelo,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,صادق حسن,220.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,محمد ق,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,أبو نافع,72.4
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,اسماعيل السلفي,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,صابر2012,58.4166666667
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الامير الصنعاني,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,صارم الحق,55.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,Microscope,608.516666667
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,وليد عبد الودود,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,ابوعلي الراشد,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,أبو هارون منصور,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,أختكم في الله,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,المـرادي,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,منصور عبد ربه,62.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,جنوبي فخور,2.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,أريد أن أفهم,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,ارحل الان,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الحدعشري,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,مراسل بلا حدود,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,جنوبي شامخ,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,أميــر القــلم,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,ابوخالد عبدالله,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,المؤمن الصادق,54.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الريد,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,جلال الأربعيني,231.416666667
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,صحافي,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,بنت حفصة,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,نور الدين زنكي,557.583333333
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,شاخوف الوائلي,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,جابر الحارثي,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,بارود1,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,صاروخي,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,kaser119,19.3333333333
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,زنجبار تنزف,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,النسر الفضي,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,مسترباند,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,صـدى الحـق,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,أبومعاوية,59.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,عبد الرحمن الزر,120.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,gamel,473.5
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,نبيل العربي,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الزهراء الزهراء,60.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,حفيد البخاري,9.78333333333
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,رئيس الجاليه,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,جلال بن فريد,1.5
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الضؤ,644.7
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,رجال الوايلي,1137.68333333
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,مصعب السيال,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,اسودالانبارءاب,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,محب الله1,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,سعيد سامر,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,KGB,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الفجر الجدديد,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,حق العودة,54.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الهاشمي اليماني,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,حسين العنتابلى,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,رشيماء,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,علي ابن المشطط,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,طيب الاسم,168.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,نصيرة الحق,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الضاحية,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,الظاهري ,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,غريب في ارضه,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,مسلم 7,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,ابن الرياشي,689.616666667
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,محمد علي حسين,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,المعلم1,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,شعارالنصر,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,عبدالرزاق الجمل,0.0
ye1.org,AQAA Non Violent Activity,Betweenness Centrality,نظمي,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,عبد الرحمن الزر,0.0133386007757
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,جنوبي فخور,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,صارم الحق,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,أبـو علياء,0.0149057987936
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,ramzi alkadasi,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,ارحل الان,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,الزهراء الزهراء,0.0227872374559
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,حفيد البخاري,0.324994454601
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,محب الله1,0.0181423506136
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,Nutcracker,0.00129386927712
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,الحدعشري,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,نور الدين زنكي,0.351170908781
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,سالم رضوان,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,kaser119,0.0899010307557
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,الضؤ,0.0521012131687
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,الامير معاويه,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,عرين الأسد,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,لبيك يايمن,0.119393718021
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,مراسل بلا حدود,0.0181423506136
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,المعلم1,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,رجال الوايلي,0.47579560053
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,ربـــش,0.0708715749537
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,الحقيقة مرة,0.00129386927712
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,صادق حسن,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,أبو شديد,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,جنوبي شامخ,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,NETSCAPE,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,أميــر القــلم,0.0345974903754
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,بو عقيل,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,متابع اعلامي,0.203522627383
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,ابوخالد عبدالله,0.0286210988027
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,يماني في الغربه,0.00129386927712
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,ابو مراد,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,نبيل العربي,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,عبدالرزاق الجمل,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,صـدى الحـق,2.17799365116e-18
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,صابر2012,0.121803045451
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,ابن سيناءء,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,المؤمن الصادق,0.211704076207
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,بارود1,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,أبوالبراء79,0.0957348921025
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,الريد,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,قلم حرر,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,Microscope,0.205515471513
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,جلال الأربعيني,0.135141646227
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,سعيد سامر,0.121803045451
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,الخبجي99,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,الليل والنهار,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,الركن اليماني,0.0181423506136
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,الفجر الجدديد,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,مجدي الرويشد,0.000331218233396
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,حق العودة,0.052614758595
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,محب علماء اليمن,0.0345974903754
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,الهاشمي اليماني,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,نقار الخشب,0.0521012131687
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,اليماني القحطان,0.00129386927712
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,النمر بن عدوان,1.08899682558e-18
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,الواحدي شبواني,0.000331218233396
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,النسر الفضي,0.00087420287912
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,علي الصريمي,0.0311829325333
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,رئيس الجاليه,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,بنت حفصة,0.0
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,KGB,0.030564917131
ye1.org,AQAA Non Violent Activity,Eigenvector Centrality,أريد أن أفهم,0.0
